CLASS,CULTIVAR,GERM,SL,RL,TL,SDM,RDM,TDM
Saline,FPS Netuno RR,88,6.3,4.6,10.8,22.7,10.2,32.9
Saline,FPS Paranapanema RR,84,5.1,5.7,10.8,26.8,11.8,38.5
Saline,FPS Paranapanema RR,96,5.5,6.7,12.2,24.8,10.8,35.5
Saline,FPS Paranapanema RR,80,7.1,7.2,14.3,29.3,12.7,41.9
Saline,FPS Paranapanema RR,88,7.3,6.6,13.9,28.8,11.2,40
Saline,FPS solar RR,92,5.8,5.2,11,26.7,12.2,38.9
Saline,FPS solar RR,84,7.4,7,14.4,28.5,14.3,42.8
Saline,FPS solar RR,80,7.3,7.5,14.8,29.9,14.4,44.3
Saline,FPS solar RR,88,7.1,7.1,14.2,27.5,15,42.5
Saline,FPS solimoes RR,80,7.1,8.1,15.2,29.9,13.6,43.5
Saline,FPS solimoes RR,88,9,8.3,17.3,32.3,15,47.3
Saline,FPS solimoes RR,96,8.8,10,18.8,31.1,15.1,46.2
Saline,FPS solimoes RR,88,6.1,8,14.1,28.9,14.3,43.2
Saline, FPS Urano RR,84,5.6,7.7,13.3,28,15.1,43.1
Saline, FPS Urano RR,80,6.5,9.7,16.2,29.6,18.1,47.7
Saline, FPS Urano RR,80,6.1,7.8,13.9,27,14.7,41.7
Saline, FPS Urano RR,92,6.2,8.4,14.6,27.6,15.3,42.9
Saline,M7110 IPRO ,84,4.8,4.4,9.2,21.2,10.7,31.9
Saline,M7110 IPRO ,92,5.7,4.6,10.3,24.2,11.2,35.4
Saline,M7110 IPRO ,100,6.1,5.2,11.3,21.9,11.2,33.1
Saline,M7110 IPRO ,92,5.3,4,9.3,19.8,9.9,29.8
Saline,SYN 13610 IPRO,80,7.3,5,12.3,29.2,13.8,43
Saline,SYN 13610 IPRO,72,7.7,5.8,13.4,29.3,12.6,41.9
Saline,SYN 13610 IPRO,88,7.1,4.9,12,28.8,13.1,41.9
Saline,SYN 13610 IPRO,68,6.6,4.3,10.9,26.8,11.6,38.4
Saline,NS 5106 IPRO,88,4.5,4.4,8.9,29.2,12.5,41.7
Saline,NS 5106 IPRO,76,5.5,5.1,10.6,25.2,12.5,37.7
Saline,NS 5106 IPRO,80,5.3,4.7,10,27.6,12,39.6
Saline,NS 5106 IPRO,84,5.3,4.1,9.4,28.2,10.9,39.1
Saline,NS 5151 IPRO,76,5,6,11,28.8,14.4,43.2
Saline,NS 5151 IPRO,96,7.4,6.8,14.2,30,15.5,45.5
Saline,NS 5151 IPRO,80,6.9,6.7,13.6,29,12.8,41.8
Saline,NS 5151 IPRO,100,7.2,8,15.2,28.2,14.6,42.8
Saline,NS 5909 IPRO,56,4.6,4.5,9.1,21.6,9.7,31.3
Saline,NS 5909 IPRO,56,6.2,4.3,10.5,22.2,11.7,33.9
Saline,NS 5909 IPRO,60,5.8,4.7,10.5,24.6,12.7,37.3
Saline,NS 5909 IPRO,64,5.6,3.9,9.5,22,10,32
Saline,NS 5959 IPRO,84,5.8,4.1,9.9,35.7,7.9,43.6
Saline,NS 5959 IPRO,84,6.8,4.9,11.7,31.9,9.1,40.9
Saline,NS 5959 IPRO,88,6.2,4.3,10.5,33.2,8.1,41.3
Saline,NS 5959 IPRO,72,6.2,4.4,10.6,28.6,7.2,35.8
Saline,NS 6909 IPRO,60,5.8,4.2,10,26.9,9.7,36.6
Saline,NS 6909 IPRO,72,7.1,6.2,13.3,30.5,10.8,41.3
Saline,NS 6909 IPRO,64,6.6,4.9,11.5,26.9,9.3,36.2
Saline,NS 6909 IPRO,68,7.1,5,12.1,27.3,9.1,36.4
Saline,NS 7000 IPRO,68,7.1,6.5,13.6,32.3,14.6,46.9
Saline,NS 7000 IPRO,60,5.1,5.9,11,32.4,12.7,45.1
Saline,NS 7000 IPRO,56,7,5.8,12.8,32.1,12.3,44.4
Saline,NS 7000 IPRO,72,7.3,7.3,14.7,32.9,13.7,46.5
Saline,NS 7209 IPRO,76,6.2,6,12.2,31.7,9.2,40.9
Saline,NS 7209 IPRO,80,7.1,6.9,14,32.9,10.9,43.8
Saline,NS 7209 IPRO,80,7.8,7,14.8,34.3,11.7,46
Saline,NS 7209 IPRO,72,6.4,6.2,12.6,33,11.4,44.3
Saline,NS 7300 IPRO,100,8,6.7,14.7,33.2,10.7,43.9
Saline,NS 7300 IPRO,92,6.4,6.9,13.3,34.9,13.1,48
Saline,NS 7300 IPRO,92,5.8,7.5,13.3,33.6,11.6,45.2
Saline,NS 7300 IPRO,96,6.6,7.8,14.4,36.7,12.5,49.3
Saline,NS 7338 IPRO,68,6.8,4.3,11.1,32.6,8.8,41.4
Saline,NS 7338 IPRO,76,7.7,5.6,13.3,37.2,10,47.2
Saline,NS 7338 IPRO,84,7.7,6.5,14.2,42,11.9,53.9
Saline,NS 7338 IPRO,72,7.2,5.3,12.5,35,9.7,44.7
Saline,TMG 716 RR,88,8.6,7.9,16.5,35.3,14.3,49.5
Saline,TMG 716 RR,96,7.6,10.2,17.8,34.8,16.8,51.6
Saline,TMG 716 RR,96,6.8,10.4,17.2,34.5,14.9,49.4
Saline,TMG 716 RR,88,8.2,7.5,15.7,33.7,13,46.7
Saline,RK 5813 RR,92,7.4,6.4,13.8,37.3,10,47.2
Saline,RK 5813 RR,88,8.6,7.9,16.5,36,11.9,47.9
Saline,RK 5813 RR,96,9.6,7.9,17.5,41.5,12.2,53.7
Saline,RK 5813 RR,92,7.6,7.7,15.3,38.7,11.7,50.4
Saline,RK 6316 RR,84,6.1,4.2,10.3,28.1,7.7,35.8
Saline,RK 6316 RR,92,7.6,5.4,13,31,9,40
Saline,RK 6316 RR,84,8.4,6.2,14.6,30.5,10.1,40.6
Saline,RK 6316 RR,80,8.8,5.7,14.5,33.1,10.5,43.6
Saline,RK 6813 RR,92,9.3,8.4,17.7,32.6,11.5,44.1
Saline,RK 6813 RR,100,10,11.1,21.1,36.7,12.5,49.2
Saline,RK 6813 RR,100,9.6,7.2,16.8,36.8,9.5,46.3
Saline,RK 6813 RR,92,10.3,11,21.3,37.5,11.9,49.4
Saline,RK 7214 IPRO,80,8,8.5,16.5,35.8,11.9,47.7
Saline,RK 7214 IPRO,80,7.9,9,16.9,35.8,13.8,49.5
Saline,RK 7214 IPRO,84,7,7.6,14.6,33.6,10.9,44.5
Saline,RK 7214 IPRO,72,7.3,6.5,13.8,35.3,11.7,47
Saline,PONTA IPRO,96,9.6,11.8,21.4,36.5,17.5,54
Saline,PONTA IPRO,88,9.5,11.1,20.6,40.3,15.4,55.6
Saline,PONTA IPRO,100,11.5,10.9,22.4,39,16.1,55.1
Saline,PONTA IPRO,92,7.8,10.1,17.9,33.6,14.3,47.9
Saline,DESAFIO RR,100,10.5,10.4,20.9,36.2,15.1,51.3
Saline,DESAFIO RR,96,9.5,11.3,20.8,34.7,15.4,50.1
Saline,DESAFIO RR,96,11.8,13.5,25.3,38.2,18.4,56.6
Saline,DESAFIO RR,96,11.3,14.9,26.2,38,15.8,53.8
